num,date,BitcoinValue,GoldValue,bitcoinPred,goldPred,mark
0,2016/9/11,621.65,1324.6,621.65,1324.6,FALSE
1,2016/9/12,609.67,1324.6,609.67,1324.6,TRUE
2,2016/9/13,610.92,1323.65,612.6365101,1324.130578,TRUE
3,2016/9/14,608.82,1321.75,610.5924452,1322.144426,TRUE
4,2016/9/15,610.38,1310.8,612.0923739,1311.374959,TRUE
5,2016/9/16,609.11,1308.35,610.872157,1308.752966,TRUE
6,2016/9/17,607.04,1308.35,608.8121584,1308.830578,FALSE
7,2016/9/18,611.58,1308.35,613.2963274,1308.830578,FALSE
8,2016/9/19,610.19,1314.85,611.9539388,1315.5528,TRUE
9,2016/9/20,608.66,1313.8,610.4258965,1314.205263,TRUE
10,2016/9/21,598.88,1326.1,600.6383517,1326.791279,TRUE
11,2016/9/22,597.42,1339.1,599.1849343,1339.79116,TRUE
12,2016/9/23,594.08,1338.65,595.8590973,1339.089639,TRUE
13,2016/9/24,603.88,1338.65,605.6787683,1339.130578,FALSE
14,2016/9/25,601.74,1338.65,603.5128176,1339.130578,FALSE
15,2016/9/26,598.98,1340.5,600.7571802,1341.155851,TRUE
16,2016/9/27,605.96,1327,607.7138872,1327.587803,TRUE
17,2016/9/28,605.67,1322.5,607.4147381,1322.965479,TRUE
18,2016/9/29,603.85,1318.1,605.6195179,1318.562363,TRUE
19,2016/9/30,609.39,1322.5,611.1203273,1323.208535,TRUE
20,2016/10/1,614.82,1322.5,616.5486427,1322.980578,FALSE
21,2016/10/2,612.98,1322.5,614.7497457,1322.980578,FALSE
22,2016/10/3,611.85,1313.3,613.6099625,1313.859831,TRUE
23,2016/10/4,609.62,1283.3,611.3936141,1283.90407,TRUE
24,2016/10/5,607.18,1269.4,608.9552527,1269.989182,TRUE
25,2016/10/6,612.08,1254.5,613.800978,1255.09211,TRUE
26,2016/10/7,617.21,1258.75,618.9342015,1259.458374,TRUE
27,2016/10/8,614.74,1258.75,616.5154621,1259.230578,FALSE
28,2016/10/9,615.65,1258.75,617.3718854,1259.230578,FALSE
29,2016/10/10,617.54,1259.5,619.2488955,1260.062405,TRUE
30,2016/10/11,614.77,1253.45,616.5472299,1253.957929,TRUE
31,2016/10/12,635.01,1256.5,636.8940019,1257.198489,TRUE
32,2016/10/13,635.96,1261.05,637.681213,1261.758556,TRUE
33,2016/10/14,634.02,1251.75,635.7908413,1252.310893,TRUE
34,2016/10/15,637.94,1251.75,639.6497893,1252.230578,FALSE
35,2016/10/16,641.42,1251.75,643.1266072,1252.230578,FALSE
36,2016/10/17,638.97,1254.8,640.7453231,1255.498489,TRUE
37,2016/10/18,636.29,1258.2,638.0667605,1258.903482,TRUE
38,2016/10/19,629.25,1269.05,631.0184583,1269.742123,TRUE
39,2016/10/20,627.72,1271.65,629.4858965,1272.338051,TRUE
40,2016/10/21,631.92,1266.05,633.632479,1266.546843,TRUE
41,2016/10/22,655.48,1266.05,657.3718942,1266.530578,FALSE
42,2016/10/23,653.25,1266.05,655.0236141,1266.530578,FALSE
43,2016/10/24,651.39,1265.55,653.1599706,1265.985834,TRUE
44,2016/10/25,655.31,1269.4,657.0197893,1270.107065,TRUE
45,2016/10/26,651.45,1270.5,653.2293878,1271.098075,TRUE
46,2016/10/27,682.22,1266.25,684.115545,1266.707626,TRUE
47,2016/10/28,687.68,1273,689.4090995,1273.701833,TRUE
48,2016/10/29,685.91,1273,687.6789361,1273.480578,FALSE
49,2016/10/30,698,1273,699.8284007,1273.480578,FALSE
50,2016/10/31,702,1272,703.7105092,1272.407189,TRUE
51,2016/11/1,697.01,1288.45,698.7869403,1289.142098,TRUE
52,2016/11/2,733.33,1303.75,735.2223323,1304.44159,TRUE
53,2016/11/3,686.17,1301,687.9125202,1301.410459,TRUE
54,2016/11/4,683.69,1302.8,685.4655305,1303.452861,TRUE
55,2016/11/5,704.79,1302.8,706.676603,1303.280578,FALSE
56,2016/11/6,712,1302.8,713.7577462,1303.280578,FALSE
57,2016/11/7,709.96,1283.05,711.7318652,1283.649869,TRUE
58,2016/11/8,708.97,1282.35,710.7276512,1282.772304,TRUE
59,2016/11/9,720.93,1281.4,722.7569085,1281.80928,TRUE
60,2016/11/10,721.5,1267.5,723.227952,1268.089182,TRUE
61,2016/11/11,715.45,1236.45,717.2227481,1237.054208,TRUE
62,2016/11/12,703.71,1236.45,705.463384,1236.930578,FALSE
63,2016/11/13,702.28,1236.45,704.0445117,1236.930578,FALSE
64,2016/11/14,706.46,1213.6,708.1722715,1214.202022,TRUE
65,2016/11/15,710.91,1226.95,712.6252525,1227.641154,TRUE
66,2016/11/16,711.73,1229.2,713.4534329,1229.875746,TRUE
67,2016/11/17,736.96,1226.75,738.8540229,1227.152966,TRUE
68,2016/11/18,747.52,1211,749.3293856,1211.594119,TRUE
69,2016/11/19,748.98,1211,750.6936207,1211.480578,FALSE
70,2016/11/20,729.06,1211,730.8046976,1211.480578,FALSE
71,2016/11/21,738.53,1214.25,740.323926,1214.951621,TRUE
72,2016/11/22,736.97,1212.25,738.7362985,1212.645316,TRUE
73,2016/11/23,741.63,1185.35,743.347818,1185.953482,TRUE
74,2016/11/24,737.45,1186.1,739.2290442,1186.662405,TRUE
75,2016/11/25,735.64,1187.7,737.409403,1188.33969,TRUE
76,2016/11/26,733.67,1187.7,735.441156,1188.180578,FALSE
77,2016/11/27,727.96,1187.7,729.7341856,1188.180578,FALSE
78,2016/11/28,727.31,1187,729.0616147,1187.422304,TRUE
79,2016/11/29,732.71,1186.55,734.4381881,1186.989639,TRUE
80,2016/11/30,742.69,1178.1,744.4913513,1178.650917,TRUE
81,2016/12/1,742.05,1161.85,743.8014294,1162.445134,TRUE
82,2016/12/2,772.43,1173.5,774.3256383,1174.191544,TRUE
83,2016/12/3,764.33,1173.5,766.0941207,1173.980578,FALSE
84,2016/12/4,762.97,1173.5,764.7335022,1173.980578,FALSE
85,2016/12/5,754.63,1162.2,756.3932074,1162.777246,TRUE
86,2016/12/6,756.62,1172.5,758.3280425,1173.192718,TRUE
87,2016/12/7,758.99,1177.65,760.6956855,1178.357604,TRUE
88,2016/12/8,769.72,1171.05,771.5316553,1171.570077,TRUE
89,2016/12/9,770.02,1163.6,771.7531076,1164.136014,TRUE
90,2016/12/10,769.08,1163.6,770.8367992,1164.080578,FALSE
91,2016/12/11,777,1163.6,778.7695525,1164.080578,FALSE
92,2016/12/12,777,1156.1,778.7390155,1156.636852,TRUE
93,2016/12/13,777.99,1158.55,779.7105505,1159.233292,TRUE
94,2016/12/14,774.89,1162.25,776.6685317,1162.956162,TRUE
95,2016/12/15,776.75,1126.95,778.4591699,1127.55457,TRUE
96,2016/12/16,775.88,1131.6,777.6355843,1132.308501,TRUE
97,2016/12/17,788.7,1131.6,790.536362,1132.080578,FALSE
98,2016/12/18,788.4,1131.6,790.1449336,1132.080578,FALSE
99,2016/12/19,788.67,1136.25,790.4036927,1136.958501,TRUE
100,2016/12/20,793.09,1125.7,794.8049028,1126.27208,TRUE
101,2016/12/21,824.21,1133.65,826.1054423,1134.347656,TRUE
102,2016/12/22,834.97,1131.35,836.7820518,1131.749846,TRUE
103,2016/12/23,901.31,1128.525,903.1748925,1128.937537,TRUE
104,2016/12/24,891.61,1128.525,893.3685932,1129.005578,FALSE
105,2016/12/25,892.6,1128.525,894.3205505,1129.005578,FALSE
106,2016/12/26,897.33,1128.525,899.0487161,1129.005578,FALSE
107,2016/12/27,930.37,1128.525,932.2645983,1129.005578,FALSE
108,2016/12/28,930.34,1134.6,932.0796099,1135.304456,TRUE
109,2016/12/29,963.38,1145.9,965.2745983,1146.59176,TRUE
110,2016/12/30,952.15,1137.2125,953.9045119,1137.76643,TRUE
111,2016/12/31,958.12,1137.2125,959.8571343,1137.693078,FALSE
112,2017/1/1,997.72,1137.2125,999.6094252,1137.693078,FALSE
113,2017/1/2,1015.97,1137.2125,1017.846121,1137.693078,FALSE
114,2017/1/3,1013.42,1151,1015.195991,1151.691188,TRUE
115,2017/1/4,1126.76,1164.25,1128.607096,1164.941152,TRUE
116,2017/1/5,994.67,1176.7,996.4125101,1177.39124,TRUE
117,2017/1/6,999.65,1175.85,1001.372079,1176.263972,TRUE
118,2017/1/7,896.83,1175.85,898.5725101,1176.330578,FALSE
119,2017/1/8,908.14,1175.85,909.9591042,1176.330578,FALSE
120,2017/1/9,910.49,1178.5,912.1957744,1179.189481,TRUE
121,2017/1/10,906.05,1189.5,907.828534,1190.191991,TRUE
122,2017/1/11,785.22,1178.55,786.9625101,1179.124959,TRUE
123,2017/1/12,780.92,1205.05,782.6988319,1205.74865,TRUE
124,2017/1/13,826.29,1190.35,828.1736601,1190.941577,TRUE
125,2017/1/14,817.91,1190.35,819.673058,1190.830578,FALSE
126,2017/1/15,819.55,1190.35,821.2614394,1190.830578,FALSE
127,2017/1/16,830.5,1203,832.3145346,1203.6912,TRUE
128,2017/1/17,903.84,1216.05,905.7003701,1216.741157,TRUE
129,2017/1/18,906.6,1214.75,908.3047261,1215.148028,TRUE
130,2017/1/19,895.798875,1196.05,897.5544208,1196.648789,TRUE
131,2017/1/20,893.6210875,1200.55,895.3942465,1201.258563,TRUE
132,2017/1/21,895.64,1200.55,897.3478138,1201.030578,FALSE
133,2017/1/22,918.603625,1200.55,920.494496,1201.030578,FALSE
134,2017/1/23,922.0736125,1212.85,923.7801638,1213.541279,TRUE
135,2017/1/24,919.97,1216.8,921.7424793,1217.50753,TRUE
136,2017/1/25,893.045625,1195,894.788685,1195.60143,TRUE
137,2017/1/26,915.95625,1189.7,917.8470227,1190.188872,TRUE
138,2017/1/27,915.05,1184.85,916.8062166,1185.326073,TRUE
139,2017/1/28,920.31225,1184.85,922.0383795,1185.330578,FALSE
140,2017/1/29,915.933,1184.85,917.7116696,1185.330578,FALSE
141,2017/1/30,912.19,1192.8,913.969422,1193.497656,TRUE
142,2017/1/31,964.706075,1212.8,966.5825836,1213.494206,TRUE
143,2017/2/1,979.703875,1203.65,981.5599901,1204.209289,TRUE
144,2017/2/2,983.42,1221.95,985.1281444,1222.64313,TRUE
145,2017/2/3,1013.027,1215.2,1014.922752,1215.723131,TRUE
146,2017/2/4,1030.999413,1215.2,1032.874201,1215.680578,FALSE
147,2017/2/5,1034.07,1215.2,1035.774985,1215.680578,FALSE
148,2017/2/6,1024.01375,1226.75,1025.771293,1227.4416,TRUE
149,2017/2/7,1050.11,1231,1052.004756,1231.708374,TRUE
150,2017/2/8,1052.84,1242.1,1054.544748,1242.791909,TRUE
151,2017/2/9,976.103,1236.8,977.8455101,1237.288872,TRUE
152,2017/2/10,999.1035,1228.3,1000.994439,1228.851567,TRUE
153,2017/2/11,997.59,1228.3,999.3556727,1228.780578,FALSE
154,2017/2/12,1000.604625,1228.3,1002.309499,1228.780578,FALSE
155,2017/2/13,999.877375,1222.25,1001.630408,1222.757929,TRUE
156,2017/2/14,1001.2,1230.75,1002.915471,1231.446107,TRUE
157,2017/2/15,1012.325988,1224.4,1014.142778,1224.914742,TRUE
158,2017/2/16,1035.208125,1240.55,1037.098844,1241.241953,TRUE
159,2017/2/17,1035.2,1241.95,1036.939176,1242.574524,TRUE
160,2017/2/18,1056.637138,1241.95,1058.524645,1242.430578,FALSE
161,2017/2/19,1052.779286,1241.95,1054.558675,1242.430578,FALSE
162,2017/2/20,1050.87,1237.3,1052.640512,1237.770082,TRUE
163,2017/2/21,1123.788429,1233.2,1125.649047,1233.652824,TRUE
164,2017/2/22,1123.223188,1236.65,1124.97322,1237.354019,TRUE
165,2017/2/23,1130.01,1247.9,1131.760646,1248.591795,TRUE
166,2017/2/24,1174.86625,1253.65,1176.750435,1254.35568,TRUE
167,2017/2/25,1150.605714,1253.65,1152.349154,1254.130578,FALSE
168,2017/2/26,1150.37,1253.65,1152.113674,1254.130578,FALSE
169,2017/2/27,1190.75195,1257.2,1192.640625,1257.904981,TRUE
170,2017/2/28,1187.565286,1255.6,1189.344057,1255.994091,TRUE
171,2017/3/1,1190.89,1240.4,1192.595829,1240.992863,TRUE
172,2017/3/2,1259.410817,1238.1,1261.274205,1238.499846,TRUE
173,2017/3/3,1285.14,1226.5,1287.034473,1227.07905,TRUE
174,2017/3/4,1287,1226.5,1288.70917,1226.980578,FALSE
