,date,BitcoinValue,GoldValue,bitcoinPred,goldPred,mark,bitcoin differential value,gold differential value,gold growth,bitcoin growth,gold descend,bitcoin descend
0,2016-09-12,621.65,1324.6,621.65,1324.6,False,0.0,0.0,0,0,0,0
1,2016-09-12,609.67,1324.6,609.67,1324.6,True,-11.980000000000018,0.0,0,0,0,0
2,2016-09-13,610.92,1323.65,612.6365101,1324.130578,True,2.9665101000000504,-0.469421999999895,0,0,0,1
3,2016-09-14,608.82,1321.75,610.5924452,1322.144426,True,-0.3275547999999162,-1.5055740000000242,0,1,1,0
4,2016-09-15,610.38,1310.8,612.0923739,1311.374959,True,3.272373899999934,-10.37504100000001,0,0,2,1
5,2016-09-16,609.11,1308.35,610.872157,1308.752966,True,0.49215700000002016,-2.0470339999999396,0,1,3,0
6,2016-09-17,607.04,1308.35,608.8121583999999,1308.830578,False,-0.2978416000000834,0.4805780000001505,0,0,4,1
7,2016-09-18,611.58,1308.35,613.2963274,1308.830578,False,6.256327400000032,0.4805780000001505,0,0,0,2
8,2016-09-19,610.19,1314.85,611.9539388,1315.5528,True,0.3739387999999053,7.202800000000025,0,1,0,0
9,2016-09-20,608.66,1313.8,610.4258965,1314.205263,True,0.2358964999999671,-0.64473699999985,1,0,0,1
10,2016-09-21,598.88,1326.1,600.6383517,1326.791279,True,-8.021648299999924,12.991279000000077,0,0,1,2
11,2016-09-22,597.42,1339.1,599.1849342999999,1339.79116,True,0.30493429999989985,13.691160000000082,1,0,0,3
12,2016-09-23,594.08,1338.65,595.8590972999999,1339.089639,True,-1.5609027000000424,-0.010360999999875276,2,0,0,4
13,2016-09-24,603.88,1338.65,605.6787682999999,1339.130578,False,11.598768299999847,0.4805779999999231,0,0,1,5
14,2016-09-25,601.74,1338.65,603.5128176,1339.130578,False,-0.367182400000047,0.4805779999999231,0,1,0,0
15,2016-09-26,598.98,1340.5,600.7571802,1341.155851,True,-0.9828198000000157,2.5058509999998932,0,0,0,1
16,2016-09-27,605.96,1327.0,607.7138872,1327.587803,True,8.733887200000026,-12.912197000000106,1,0,0,2
17,2016-09-28,605.67,1322.5,607.4147381,1322.965479,True,1.454738099999986,-4.034521000000041,0,1,1,0
18,2016-09-29,603.85,1318.1,605.6195179,1318.562363,True,-0.05048209999995379,-3.937636999999995,0,0,2,1
19,2016-09-30,609.39,1322.5,611.1203272999999,1323.208535,True,7.270327299999849,5.108535000000074,0,0,3,2
20,2016-10-01,614.82,1322.5,616.5486427,1322.980578,False,7.158642699999973,0.4805779999999231,1,1,0,0
21,2016-10-02,612.98,1322.5,614.7497457000001,1322.980578,False,-0.07025429999998778,0.4805779999999231,0,2,0,0
22,2016-10-03,611.85,1313.3,613.6099625,1313.859831,True,0.6299625000000333,-8.640169000000014,0,0,0,1
23,2016-10-04,609.62,1283.3,611.3936141,1283.90407,True,-0.4563858999999866,-29.395929999999908,0,0,1,2
24,2016-10-05,607.18,1269.4,608.9552527000001,1269.989182,True,-0.6647472999999309,-13.310817999999927,0,0,2,3
25,2016-10-06,612.08,1254.5,613.800978,1255.09211,True,6.6209780000000364,-14.307890000000043,0,0,3,4
26,2016-10-07,617.21,1258.75,618.9342015,1259.458374,True,6.854201499999931,4.958374000000049,0,1,4,0
27,2016-10-08,614.74,1258.75,616.5154621,1259.230578,False,-0.6945379000000003,0.4805779999999231,1,2,0,0
28,2016-10-09,615.65,1258.75,617.3718853999999,1259.230578,False,2.6318853999998737,0.4805779999999231,0,0,0,1
