,data,value
0,2016-09-13,1323.65
1,2016-09-14,1321.75
2,2016-09-15,1310.8
3,2016-09-16,1308.35
4,2016-09-19,1314.85
5,2016-09-20,1313.8
6,2016-09-21,1326.1
7,2016-09-22,1339.1
8,2016-09-23,1338.65
9,2016-09-26,1340.5
10,2016-09-27,1327
11,2016-09-28,1322.5
12,2016-09-29,1318.1
13,2016-09-30,1322.5
14,2016-10-03,1313.3
15,2016-10-04,1283.3
16,2016-10-05,1269.4
17,2016-10-06,1254.5
18,2016-10-07,1258.75
19,2016-10-10,1259.5
20,2016-10-11,1253.45
21,2016-10-12,1256.5
22,2016-10-13,1261.05
23,2016-10-14,1251.75
24,2016-10-17,1254.8
25,2016-10-18,1258.2
26,2016-10-19,1269.05
27,2016-10-20,1271.65
28,2016-10-21,1266.05
29,2016-10-24,1265.55
30,2016-10-25,1269.4
31,2016-10-26,1270.5
32,2016-10-27,1266.25
33,2016-10-28,1273
34,2016-10-31,1272
35,2016-11-01,1288.45
36,2016-11-02,1303.75
37,2016-11-03,1301
38,2016-11-04,1302.8
39,2016-11-07,1283.05
40,2016-11-08,1282.35
41,2016-11-09,1281.4
42,2016-11-10,1267.5
43,2016-11-11,1236.45
44,2016-11-14,1213.6
45,2016-11-15,1226.95
46,2016-11-16,1229.2
47,2016-11-17,1226.75
48,2016-11-18,1211
49,2016-11-21,1214.25
50,2016-11-22,1212.25
51,2016-11-23,1185.35
52,2016-11-24,1186.1
53,2016-11-25,1187.7
54,2016-11-28,1187
55,2016-11-29,1186.55
56,2016-11-30,1178.1
57,2016-12-01,1161.85
58,2016-12-02,1173.5
59,2016-12-05,1162.2
60,2016-12-06,1172.5
61,2016-12-07,1177.65
62,2016-12-08,1171.05
63,2016-12-09,1163.6
64,2016-12-12,1156.1
65,2016-12-13,1158.55
66,2016-12-14,1162.25
67,2016-12-15,1126.95
68,2016-12-16,1131.6
69,2016-12-19,1136.25
70,2016-12-20,1125.7
71,2016-12-21,1133.65
72,2016-12-22,1131.35
73,2016-12-23,
74,2016-12-28,1134.6
75,2016-12-29,1145.9
76,2016-12-30,
77,2017-01-03,1151
78,2017-01-04,1164.25
79,2017-01-05,1176.7
80,2017-01-06,1175.85
81,2017-01-09,1178.5
82,2017-01-10,1189.5
83,2017-01-11,1178.55
84,2017-01-12,1205.05
85,2017-01-13,1190.35
86,2017-01-16,1203
87,2017-01-17,1216.05
88,2017-01-18,1214.75
89,2017-01-19,1196.05
90,2017-01-20,1200.55
91,2017-01-23,1212.85
92,2017-01-24,1216.8
93,2017-01-25,1195
94,2017-01-26,1189.7
95,2017-01-27,1184.85
96,2017-01-30,1192.8
97,2017-01-31,1212.8
98,2017-02-01,1203.65
99,2017-02-02,1221.95
100,2017-02-03,1215.2
101,2017-02-06,1226.75
102,2017-02-07,1231
103,2017-02-08,1242.1
104,2017-02-09,1236.8
105,2017-02-10,1228.3
106,2017-02-13,1222.25
107,2017-02-14,1230.75
108,2017-02-15,1224.4
109,2017-02-16,1240.55
110,2017-02-17,1241.95
111,2017-02-20,1237.3
112,2017-02-21,1233.2
113,2017-02-22,1236.65
114,2017-02-23,1247.9
115,2017-02-24,1253.65
116,2017-02-27,1257.2
117,2017-02-28,1255.6
118,2017-03-01,1240.4
119,2017-03-02,1238.1
120,2017-03-03,1226.5
121,2017-03-06,1230.95
122,2017-03-07,1216.65
123,2017-03-08,1209.2
124,2017-03-09,1206.55
125,2017-03-10,1202.65
126,2017-03-13,1204.2
127,2017-03-14,1204.6
128,2017-03-15,1198.8
129,2017-03-16,1229.35
130,2017-03-17,1229.6
131,2017-03-20,1232.4
132,2017-03-21,1241.6
133,2017-03-22,1249.05
134,2017-03-23,1247.5
135,2017-03-24,1247.5
136,2017-03-27,1257.55
137,2017-03-28,1257.25
138,2017-03-29,1251.1
139,2017-03-30,1248.8
140,2017-03-31,1244.85
141,2017-04-03,1247.25
142,2017-04-04,1257.65
143,2017-04-05,1245.8
144,2017-04-06,1252.5
145,2017-04-07,1266.45
146,2017-04-10,1250.05
147,2017-04-11,1252.9
148,2017-04-12,1274.3
149,2017-04-13,1284.15
150,2017-04-18,1278.95
151,2017-04-19,1279.05
152,2017-04-20,1282.1
153,2017-04-21,1281.85
154,2017-04-24,1269.4
155,2017-04-25,1267.8
156,2017-04-26,1261.85
157,2017-04-27,1262.8
158,2017-04-28,1266.45
159,2017-05-02,1255.45
160,2017-05-03,1250.3
161,2017-05-04,1228.45
162,2017-05-05,1228.05
163,2017-05-08,1229.8
164,2017-05-09,1220.4
165,2017-05-10,1222.95
166,2017-05-11,1223.15
167,2017-05-12,1231.25
168,2017-05-15,1233.3
169,2017-05-16,1234.2
170,2017-05-17,1257.4
171,2017-05-18,1255.9
172,2017-05-19,1252
173,2017-05-22,1258.85
174,2017-05-23,1260.2
175,2017-05-24,1252.55
176,2017-05-25,1256.95
177,2017-05-26,1265.05
178,2017-05-30,1262.7
179,2017-05-31,1266.2
180,2017-06-01,1264.85
181,2017-06-02,1274.95
182,2017-06-05,1279.95
183,2017-06-06,1293.5
184,2017-06-07,1291
185,2017-06-08,1273.1
186,2017-06-09,1266.55
187,2017-06-12,1266.4
188,2017-06-13,1262
189,2017-06-14,1275.5
190,2017-06-15,1254.55
191,2017-06-16,1255.4
192,2017-06-19,1248.15
193,2017-06-20,1242.2
194,2017-06-21,1242.5
195,2017-06-22,1250.8
196,2017-06-23,1255.7
197,2017-06-26,1245.25
198,2017-06-27,1249.55
199,2017-06-28,1248
200,2017-06-29,1243.5
201,2017-06-30,1242.25
202,2017-07-03,1229.25
203,2017-07-04,1223.75
204,2017-07-05,1220.3
205,2017-07-06,1224.9
206,2017-07-07,1215.65
207,2017-07-10,1211.9
208,2017-07-11,1211.05
209,2017-07-12,1218.8
210,2017-07-13,1218.9
211,2017-07-14,1230.3
212,2017-07-17,1234.1
213,2017-07-18,1240.75
214,2017-07-19,1242.15
215,2017-07-20,1238.7
216,2017-07-21,1248.55
217,2017-07-24,1255.55
218,2017-07-25,1254.4
219,2017-07-26,1248.1
220,2017-07-27,1261.1
221,2017-07-28,1264.9
222,2017-07-31,1267.55
223,2017-08-01,1270.95
224,2017-08-02,1269.6
225,2017-08-03,1268.1
226,2017-08-04,1257.7
227,2017-08-07,1258
228,2017-08-08,1261.8
229,2017-08-09,1271.05
230,2017-08-10,1284.4
231,2017-08-11,1286.1
232,2017-08-14,1282.3
233,2017-08-15,1270.3
234,2017-08-16,1272.75
235,2017-08-17,1285.15
236,2017-08-18,1295.8
237,2017-08-21,1292.9
238,2017-08-22,1284.2
239,2017-08-23,1286.65
240,2017-08-24,1289
241,2017-08-25,1285.3
242,2017-08-29,1318.65
243,2017-08-30,1308.5
244,2017-08-31,1311.75
245,2017-09-01,1320.4
246,2017-09-04,1333.1
247,2017-09-05,1335.55
248,2017-09-06,1337.85
249,2017-09-07,1343.5
250,2017-09-08,1346.25
251,2017-09-11,1334.2
252,2017-09-12,1326.5
253,2017-09-13,1327.55
254,2017-09-14,1324.55
255,2017-09-15,1322.85
256,2017-09-18,1312.1
257,2017-09-19,1309.6
258,2017-09-20,1311.3
259,2017-09-21,1292.1
260,2017-09-22,1294.8
261,2017-09-25,1293.3
262,2017-09-26,1300.05
